name
BN
DMC
DME
EC
EC_DMC_NPA
EC_EMC
EC_PC_EMC_MA_BN
EMC
EP
EP_BN
MA
NPA
PC
PC_EC_EMC_MA_BN
PC_EMC 
PN 
VEC
EC_w_LIBF4
EC_w_LiPF6
